what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1253567803667
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1253567803667
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1253567803668
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1253567803668
os,sysinfo,,,"linux",1253567803671
arch,sysinfo,,,"x86",1253567803671
ws,sysinfo,,,"gtk",1253567803671
locale,sysinfo,,,"en_US",1253567803671
processors,sysinfo,,,"2",1253567803671
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1253567803672
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1253567803672
java.specification.name,sysinfo,,,"Java Platform API Specification",1253567803672
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1253567803672
java.specification.version,sysinfo,,,"1.6",1253567803672
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1253567803672
java.version,sysinfo,,,"1.6.0_16",1253567803672
java.vm.info,sysinfo,,,"mixed mode, sharing",1253567803672
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1253567803672
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1253567803672
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1253567803672
java.vm.specification.version,sysinfo,,,"1.0",1253567803672
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1253567803672
java.vm.version,sysinfo,,,"14.2-b01",1253567803672
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1253567857993
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1253567864798
