what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1253562129214
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1253562131835
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253562141620
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253562193291
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1253562194278
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1253562209007
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253562227139
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1253562230664
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253562230739
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253562234198
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1253562275046
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253562275130
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253562284849
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1253562347090
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1253562347090
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253562347195
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1253562368734
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253562378762
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253562402118
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253562405995
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253562409245
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1253562415593
opened,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1253562417933
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1253562418080
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineStart",1253562422487
